Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@LicypriyaK;1;;;
@Lietdansnewlegs;1;;;
@Lion_For_Truth;1;;;
@LisaMcA29254513;1;;;
@LisaPurdue2;1;;;
@ListerLawrence;1;;;
@Lithros;1;;;
@Littlwritergir1;1;;;
@Liv_Boeree;1;;;
@LizJonesGoddess;1;;;
@Lo_VVriter;6;;;
@Loca1ion;1;;;
@LofayPeter;8;;;
@LoganD08;1;;;
@LokeyMJB;3;;;
@LondonSEWalks;1;;;
@LordButters22;3;;;
@Lord_Gow;1;;;
@LorenzenToni;1;;;
@LoriMills4CA42;3;;;
@LorneStockman;1;;;
@LorraineAllans1;1;;;
@Losianka1;1;;;
@LouisCy72344053;2;;;
@LoveSelahFaith;1;;;
@LoveTherapis1;1;;;
@LozzaFox;3;;;
@LuboTalks;1;;;
@LucaBra66424748;1;;;
@Luckboxwinnerr;1;;;
@LucyLamplight;1;;;
@LukeEdison20;2;;;
@LukeGreer123;1;;;
@LukeGromen;2;;;
@LvivTyler;1;;;
@LydieStella;1;;;
@MCircada;1;;;
@MDNnewss;1;;;
@MENnewsdesk;1;;;
@MFA_China;1;;;
@MIAuniverse;1;;;
@MJRosenbergDad;1;;;
